;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CT_MODULE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_module_id;_unique_name;_name;_academic_year;_deptName;_staff1Name;_staff2Name;_tag1;_tag2;_tag3;_weekly_target;_total_target;_schedulable;_www;;;;;;;;;;;;;;;
914;Fizyczne podatawy medycyny nuklearnej;Fizyczne podatawy medycyny nuklearnej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
915;Fizyczne podstawy informatyki;Fizyczne podstawy informatyki;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
916;Fizyczne podstawy medycyny nuklearnej;Fizyczne podstawy medycyny nuklearnej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
917;Fizyka - LOG;Fizyka - LOG;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
918;Fizyka ciała stałego I;Fizyka ciała stałego I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
919;Fizyka ciała stałego II;Fizyka ciała stałego II;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
920;Fizyka ciekłych kryształów;Fizyka ciekłych kryształów;;;;;;;;;;Y;;;;;;;;;;;;;;;;
921;Fizyka doświadczalna I;Fizyka doświadczalna I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
922;Fizyka doświadczalna III;Fizyka doświadczalna III;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
923;Fizyka I;Fizyka I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
924;Fizyka komputerowa _INF;Fizyka komputerowa _INF;;;;;;;;;;Y;;;;;;;;;;;;;;;;
925;Fizyka kryształów ciekłych;Fizyka kryształów ciekłych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
926;Fizyka laserów półprzewod.;Fizyka laserów półprzewod.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
927;Fizyka ośrodków ciągłych;Fizyka ośrodków ciągłych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
928;Fizyka pow. i cienkich warstw;Fizyka pow. i cienkich warstw;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
929;Fizyka powierzchni i cienkich warstw;Fizyka powierzchni i cienkich warstw;;;;;;;;;;Y;;;;;;;;;;;;;;;;
930;Fizyka sportu;Fizyka sportu;;;;;;;;;;Y;I3;;;;;;;;;;;;;;;
931;Fizyka środowiska;Fizyka środowiska;;;;;;;;;;Y;I3;;;;;;;;;;;;;;;
932;Fizykalne metody diagnostyki i t.m.;Fizykalne metody diagnostyki i t.m.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
933;Fotografia;Fotografia;;;;;;;;;;Y;;;;;;;;;;;;;;;;
934;Fotoniczne systemy przetwarzania danych;Fotoniczne systemy przetwarzania danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
935;Fotorealistyczna GK;Fotorealistyczna GK;;;;;;;;;;Y;;;;;;;;;;;;;;;;
936;Foundations Electrodyn.;Foundations Electrodyn.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
937;Fundam. of Data Analysis;Fundam. of Data Analysis;;;;;;;;;;Y;;;;;;;;;;;;;;;;
938;Fundam. of Thermod.;Fundam. of Thermod.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
939;Fundamentals of biochemistry;Fundamentals of biochemistry;;;;;;;;;;Y;;;;;;;;;;;;;;;;
940;Fundamentals of Programming;Fundamentals of Programming;;;;;;;;;;Y;;;;;;;;;;;;;;;;
941;Fundusze emerytalne;Fundusze emerytalne;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
942;Geometria analityczna;Geometria analityczna;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
943;Geometria dwuwymiarowa w prakt.;Geometria dwuwymiarowa w prakt.;;;;;;;;;;Y;WFTIMS I2;;;;;;;;;;;;;;;
944;Geometria różniczkowa;Geometria różniczkowa;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
945;Geometrical and Phys. optics;Geometrical and Phys. optics;;;;;;;;;;Y;;;;;;;;;;;;;;;;
946;Ggrafy i ich zastosowania;Ggrafy i ich zastosowania;;;;;;;;;;Y;WFTIMS I2;;;;;;;;;;;;;;;
947;Gospodarka elektroniczna;Gospodarka elektroniczna;;;;;;;;;;Y;;;;;;;;;;;;;;;;
948;Grafy i ich zastosowania;Grafy i ich zastosowania;;;;;;;;;;Y;;;;;;;;;;;;;;;;
949;Gry mobilne;Gry mobilne;;;;;;;;;;Y;;;;;;;;;;;;;;;;
950;Handel zagraniczny;Handel zagraniczny;;;;;;;;;;Y;;;;;;;;;;;;;;;;
951;Historia fizyki;Historia fizyki;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
952;History of Physics;History of Physics;;;;;;;;;;Y;;;;;;;;;;;;;;;;
953;Hurtownie danych;Hurtownie danych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
954;Image proces;Image proces;;;;;;;;;;Y;;;;;;;;;;;;;;;;
955;Image processing;Image processing;;;;;;;;;;Y;;;;;;;;;;;;;;;;
956;Informacja w PPD;Informacja w PPD;;;;;;;;;;Y;;;;;;;;;;;;;;;;
957;Informatyka w biznesie;Informatyka w biznesie;;;;;;;;;;Y;;;;;;;;;;;;;;;;
958;Informatyka w zarządzaniu i HE;Informatyka w zarządzaniu i HE;;;;;;;;;;Y;;;;;;;;;;;;;;;;
959;Informatyzacja w przedsiębiorstwach;Informatyzacja w przedsiębiorstwach;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1794;Infrastr. środow. dewelop. i produkcyjnych;Infrastr. środow. dewelop. i produkcyjnych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
960;Innowacje;Innowacje;;;;;;;;;;Y;;;;;;;;;;;;;;;;
961;Inofmatyzacja w przeds_ V LOG;Inofmatyzacja w przeds_ V LOG;;;;;;;;;;Y;;;;;;;;;;;;;;;;
962;Inteligentna eksploracja danych;Inteligentna eksploracja danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
963;Inteligentne przetw. danych;Inteligentne przetw. danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1792;Internet Rzeczy I;Internet Rzeczy I;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1793;Internet Rzeczy II;Internet Rzeczy II;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1752;Introduction to Internet of Things;Introduction to Internet of Things;;;;;;;;;;Y;;;;;;;;;;;;;;;;
964;Introduction to IT;Introduction to IT;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1756;Introduction to Mobile Systems;Introduction to Mobile Systems;;;;;;;;;;Y;;;;;;;;;;;;;;;;
965;Inżynieria oprgramowania - s1;Inżynieria oprgramowania - s1;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
966;Inżynieria oprogramowania;Inżynieria oprogramowania;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
967;Język obcy dla celów AiZ;Język obcy dla celów akademickich i zawodowych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
968;Języki obce;Języki obce;;;;;;;;;;Y;;;;;;;;;;;;;;;;
